OrderID,MenuItemID,Quantity
25-522-2006,02-000-01,1
25-522-2006,01-000-05,1
25-522-2006,03-000-01,1
25-522-2006,00-000-01,1
25-522-2006,04-000-01,1
69-765-1585,02-000-02,1
69-765-1585,01-000-06,1
69-765-1585,03-000-02,1
69-765-1585,00-000-02,1
69-765-1585,04-000-02,1
17-146-9681,02-000-03,1
17-146-9681,01-000-01,1
17-146-9681,03-000-03,1
17-146-9681,00-000-03,1
17-146-9681,04-000-03,1
76-063-7709,02-000-04,1
76-063-7709,01-000-02,1
76-063-7709,03-000-04,1
76-063-7709,00-000-04,1
76-063-7709,04-000-04,1
39-647-4894,02-000-05,1
39-647-4894,01-000-03,1
39-647-4894,03-000-05,1
39-647-4894,00-000-05,1
39-647-4894,04-000-05,1
84-561-9421,01-000-04,1
84-561-9421,03-000-06,1
84-561-9421,00-000-06,1
84-561-9421,04-000-06,1
08-152-8962,02-000-01,1
08-152-8962,01-000-05,1
08-152-8962,03-000-01,1
08-152-8962,00-000-01,1
08-152-8962,04-000-01,1
83-499-1350,02-000-02,1
83-499-1350,01-000-06,1
83-499-1350,03-000-02,1
83-499-1350,00-000-02,1
83-499-1350,04-000-02,1
39-613-0627,02-000-03,1
39-613-0627,01-000-01,1
39-613-0627,03-000-03,1
39-613-0627,00-000-03,1
39-613-0627,04-000-03,1
56-545-1829,02-000-04,1
56-545-1829,01-000-01,1
56-545-1829,03-000-04,1
56-545-1829,00-000-04,1
56-545-1829,04-000-04,1
42-906-2475,02-000-05,1
42-906-2475,01-000-02,1
42-906-2475,03-000-05,1
42-906-2475,00-000-05,1
42-906-2475,04-000-05,1
90-989-2851,01-000-03,1
90-989-2851,03-000-06,1
90-989-2851,00-000-06,1
90-989-2851,04-000-06,1
17-851-5705,02-000-01,1
17-851-5705,01-000-04,1
17-851-5705,03-000-01,1
17-851-5705,00-000-01,1
17-851-5705,04-000-01,1
20-698-8725,02-000-02,1
20-698-8725,01-000-05,1
20-698-8725,03-000-02,1
20-698-8725,00-000-02,1
20-698-8725,04-000-02,1
62-918-2454,02-000-03,1
62-918-2454,01-000-06,1
62-918-2454,03-000-03,1
62-918-2454,00-000-03,1
62-918-2454,04-000-03,1
09-019-6593,02-000-04,1
09-019-6593,01-000-01,1
09-019-6593,03-000-04,1
09-019-6593,00-000-04,1
09-019-6593,04-000-04,1
73-876-5941,02-000-05,1
73-876-5941,01-000-02,1
73-876-5941,03-000-05,1
73-876-5941,00-000-05,1
73-876-5941,04-000-05,1
05-825-9260,01-000-03,1
05-825-9260,03-000-06,1
05-825-9260,00-000-06,1
05-825-9260,04-000-06,1
55-263-8669,02-000-01,1
55-263-8669,01-000-04,1
55-263-8669,03-000-01,1
55-263-8669,00-000-01,1
55-263-8669,04-000-01,1
75-655-7346,02-000-02,1
75-655-7346,01-000-05,1
75-655-7346,03-000-02,1
75-655-7346,00-000-02,1
75-655-7346,04-000-02,1
23-760-0421,02-000-03,1
23-760-0421,01-000-06,1
23-760-0421,03-000-03,1
23-760-0421,00-000-03,1
23-760-0421,04-000-03,1
02-938-1657,02-000-04,1
02-938-1657,01-000-01,1
02-938-1657,03-000-04,1
02-938-1657,00-000-04,1
02-938-1657,04-000-04,1
00-669-6040,02-000-05,1
00-669-6040,01-000-02,1
00-669-6040,03-000-05,1
00-669-6040,00-000-05,1
00-669-6040,04-000-05,1
58-064-3049,01-000-03,1
58-064-3049,03-000-06,1
58-064-3049,00-000-06,1
58-064-3049,04-000-06,1
30-969-9125,02-000-01,1
30-969-9125,01-000-04,1
30-969-9125,03-000-01,1
30-969-9125,00-000-01,1
30-969-9125,04-000-01,1
89-262-2574,02-000-02,1
89-262-2574,01-000-05,1
89-262-2574,03-000-02,1
89-262-2574,00-000-02,1
89-262-2574,04-000-02,1
56-933-2115,02-000-03,1
56-933-2115,01-000-06,1
56-933-2115,03-000-03,1
56-933-2115,00-000-03,1
56-933-2115,04-000-03,1
14-210-2413,02-000-04,1
14-210-2413,01-000-01,1
14-210-2413,03-000-04,1
14-210-2413,00-000-04,1
14-210-2413,04-000-04,1
51-322-7429,02-000-05,1
51-322-7429,01-000-01,1
51-322-7429,03-000-05,1
51-322-7429,00-000-05,1
51-322-7429,04-000-05,1
57-755-0191,01-000-02,1
57-755-0191,03-000-06,1
57-755-0191,00-000-06,1
57-755-0191,04-000-06,1
49-841-5624,02-000-01,1
49-841-5624,01-000-03,1
49-841-5624,03-000-01,1
49-841-5624,00-000-01,1
49-841-5624,04-000-01,1
58-287-7773,02-000-02,1
58-287-7773,01-000-04,1
58-287-7773,03-000-02,1
58-287-7773,00-000-02,1
58-287-7773,04-000-02,1
91-284-4644,02-000-03,1
91-284-4644,01-000-05,1
91-284-4644,03-000-03,1
91-284-4644,00-000-03,1
91-284-4644,04-000-03,1
49-366-5985,02-000-04,1
49-366-5985,01-000-06,1
49-366-5985,03-000-04,1
49-366-5985,00-000-04,1
49-366-5985,04-000-04,1
40-107-4974,02-000-05,1
40-107-4974,01-000-01,1
40-107-4974,03-000-05,1
40-107-4974,00-000-05,1
40-107-4974,04-000-05,1
46-301-6761,01-000-02,1
46-301-6761,03-000-06,1
46-301-6761,00-000-06,1
46-301-6761,04-000-06,1
02-266-1313,02-000-01,1
02-266-1313,01-000-03,1
02-266-1313,03-000-01,1
02-266-1313,00-000-01,1
02-266-1313,04-000-01,1
60-270-8291,02-000-02,1
60-270-8291,01-000-04,1
60-270-8291,03-000-02,1
60-270-8291,00-000-02,1
60-270-8291,04-000-02,1
68-226-7897,02-000-03,1
68-226-7897,01-000-05,1
68-226-7897,03-000-03,1
68-226-7897,00-000-03,1
68-226-7897,04-000-03,1
69-624-5454,02-000-04,1
69-624-5454,01-000-06,1
69-624-5454,03-000-04,1
69-624-5454,00-000-04,1
69-624-5454,04-000-04,1
90-389-3298,02-000-05,1
90-389-3298,01-000-01,1
90-389-3298,03-000-05,1
90-389-3298,00-000-05,1
90-389-3298,04-000-05,1
84-017-7714,01-000-02,1
84-017-7714,03-000-06,1
84-017-7714,00-000-06,1
84-017-7714,04-000-06,1
36-779-8330,02-000-01,1
36-779-8330,01-000-03,1
36-779-8330,03-000-01,1
36-779-8330,00-000-01,1
36-779-8330,04-000-01,1
89-464-8624,02-000-02,1
89-464-8624,01-000-04,1
89-464-8624,03-000-02,1
89-464-8624,00-000-02,1
89-464-8624,04-000-02,1
14-224-3137,02-000-03,1
14-224-3137,01-000-05,1
14-224-3137,03-000-03,1
14-224-3137,00-000-03,1
14-224-3137,04-000-03,1
30-148-2955,02-000-04,1
30-148-2955,01-000-06,1
30-148-2955,03-000-04,1
30-148-2955,00-000-04,1
30-148-2955,04-000-04,1
65-301-1388,02-000-05,1
65-301-1388,01-000-01,1
65-301-1388,03-000-05,1
65-301-1388,00-000-05,1
65-301-1388,04-000-05,1
55-734-7101,01-000-01,1
55-734-7101,03-000-06,1
55-734-7101,00-000-06,1
55-734-7101,04-000-06,1
92-838-7961,02-000-01,1
92-838-7961,01-000-02,1
92-838-7961,03-000-01,1
92-838-7961,00-000-01,1
92-838-7961,04-000-01,1
46-715-1183,02-000-02,1
46-715-1183,01-000-03,1
46-715-1183,03-000-02,1
46-715-1183,00-000-02,1
46-715-1183,04-000-02,1
64-569-9390,02-000-03,1
64-569-9390,01-000-04,1
64-569-9390,03-000-03,1
64-569-9390,00-000-03,1
64-569-9390,04-000-03,1
92-282-7155,02-000-04,1
92-282-7155,01-000-05,1
92-282-7155,03-000-04,1
92-282-7155,00-000-04,1
92-282-7155,04-000-04,1
31-576-8678,02-000-05,1
31-576-8678,01-000-06,1
31-576-8678,03-000-05,1
31-576-8678,00-000-05,1
31-576-8678,04-000-05,1
86-581-4964,01-000-01,1
86-581-4964,03-000-06,1
86-581-4964,00-000-06,1
86-581-4964,04-000-06,1
56-840-9304,02-000-01,1
56-840-9304,01-000-02,1
56-840-9304,03-000-01,1
56-840-9304,00-000-01,1
56-840-9304,04-000-01,1
52-071-2704,02-000-02,1
52-071-2704,01-000-03,1
52-071-2704,03-000-02,1
52-071-2704,00-000-02,1
52-071-2704,04-000-02,1
80-215-3898,02-000-03,1
80-215-3898,01-000-04,1
80-215-3898,03-000-03,1
80-215-3898,00-000-03,1
80-215-3898,04-000-03,1
44-357-1100,02-000-04,1
44-357-1100,01-000-05,1
44-357-1100,03-000-04,1
44-357-1100,00-000-04,1
44-357-1100,04-000-04,1
22-904-5860,02-000-05,1
22-904-5860,01-000-06,1
22-904-5860,03-000-05,1
22-904-5860,00-000-05,1
22-904-5860,04-000-05,1
07-113-3748,01-000-01,1
07-113-3748,03-000-06,1
07-113-3748,00-000-06,1
07-113-3748,04-000-06,1
24-998-9967,02-000-01,1
24-998-9967,01-000-02,1
24-998-9967,03-000-01,1
24-998-9967,00-000-01,1
24-998-9967,04-000-01,1
80-923-1183,02-000-02,1
80-923-1183,01-000-03,1
80-923-1183,03-000-02,1
80-923-1183,00-000-02,1
80-923-1183,04-000-02,1
10-390-3471,02-000-03,1
10-390-3471,01-000-04,1
10-390-3471,03-000-03,1
10-390-3471,00-000-03,1
10-390-3471,04-000-03,1
28-608-5137,02-000-04,1
28-608-5137,01-000-05,1
28-608-5137,03-000-04,1
28-608-5137,00-000-04,1
28-608-5137,04-000-04,1
12-837-0577,02-000-05,1
12-837-0577,01-000-06,1
12-837-0577,03-000-05,1
12-837-0577,00-000-05,1
12-837-0577,04-000-05,1
25-485-3794,01-000-01,1
25-485-3794,03-000-06,1
25-485-3794,00-000-06,1
25-485-3794,04-000-06,1
78-407-9810,02-000-01,1
78-407-9810,01-000-01,1
78-407-9810,03-000-01,1
78-407-9810,00-000-01,1
78-407-9810,04-000-01,1
57-417-7291,02-000-02,1
57-417-7291,01-000-02,1
57-417-7291,03-000-02,1
57-417-7291,00-000-02,1
57-417-7291,04-000-02,1
27-077-0389,02-000-03,1
27-077-0389,01-000-03,1
27-077-0389,03-000-03,1
27-077-0389,00-000-03,1
27-077-0389,04-000-03,1
31-607-0351,02-000-04,1
31-607-0351,01-000-04,1
31-607-0351,03-000-04,1
31-607-0351,00-000-04,1
31-607-0351,04-000-04,1
15-667-9235,02-000-05,1
15-667-9235,01-000-05,1
15-667-9235,03-000-05,1
15-667-9235,00-000-05,1
15-667-9235,04-000-05,1
76-705-8000,01-000-06,1
76-705-8000,03-000-06,1
76-705-8000,00-000-06,1
76-705-8000,04-000-06,1
97-507-9861,02-000-01,1
97-507-9861,01-000-01,1
97-507-9861,03-000-01,1
97-507-9861,00-000-01,1
97-507-9861,04-000-01,1
53-430-9568,02-000-02,1
53-430-9568,01-000-02,1
53-430-9568,03-000-02,1
53-430-9568,00-000-02,1
53-430-9568,04-000-02,1
98-889-5403,02-000-03,1
98-889-5403,01-000-03,1
98-889-5403,03-000-03,1
98-889-5403,00-000-03,1
98-889-5403,04-000-03,1
12-128-2576,02-000-04,1
12-128-2576,01-000-04,1
12-128-2576,03-000-04,1
12-128-2576,00-000-04,1
12-128-2576,04-000-04,1
03-825-5219,02-000-05,1
03-825-5219,01-000-05,1
03-825-5219,03-000-05,1
03-825-5219,00-000-05,1
03-825-5219,04-000-05,1
78-806-0853,01-000-06,1
78-806-0853,03-000-06,1
78-806-0853,00-000-06,1
78-806-0853,04-000-06,1
39-843-1059,02-000-01,1
39-843-1059,01-000-01,1
39-843-1059,03-000-01,1
39-843-1059,00-000-01,1
39-843-1059,04-000-01,1
70-424-5723,02-000-02,1
70-424-5723,01-000-02,1
70-424-5723,03-000-02,1
70-424-5723,00-000-02,1
70-424-5723,04-000-02,1
34-629-9123,02-000-03,1
34-629-9123,01-000-03,1
34-629-9123,03-000-03,1
34-629-9123,00-000-03,1
34-629-9123,04-000-03,1
52-984-2592,02-000-04,1
52-984-2592,01-000-04,1
52-984-2592,03-000-04,1
52-984-2592,00-000-04,1
52-984-2592,04-000-04,1
01-423-8434,02-000-05,1
01-423-8434,01-000-05,1
01-423-8434,03-000-05,1
01-423-8434,00-000-05,1
01-423-8434,04-000-05,1
31-340-1373,01-000-06,1
31-340-1373,03-000-06,1
31-340-1373,00-000-06,1
31-340-1373,04-000-06,1
43-009-8040,02-000-01,1
43-009-8040,01-000-01,1
43-009-8040,03-000-01,1
43-009-8040,00-000-01,1
43-009-8040,04-000-01,1
84-854-1349,02-000-02,1
84-854-1349,01-000-01,1
84-854-1349,03-000-02,1
84-854-1349,00-000-02,1
84-854-1349,04-000-02,1
46-969-1933,02-000-03,1
46-969-1933,01-000-02,1
46-969-1933,03-000-03,1
46-969-1933,00-000-03,1
46-969-1933,04-000-03,1
86-161-8508,02-000-04,1
86-161-8508,01-000-03,1
86-161-8508,03-000-04,1
86-161-8508,00-000-04,1
86-161-8508,04-000-04,1
69-607-3610,02-000-05,1
69-607-3610,01-000-04,1
69-607-3610,03-000-05,1
69-607-3610,00-000-05,1
69-607-3610,04-000-05,1
51-955-2727,01-000-05,1
51-955-2727,03-000-06,1
51-955-2727,00-000-06,1
51-955-2727,04-000-06,1
40-192-8164,02-000-01,1
40-192-8164,01-000-06,1
40-192-8164,03-000-01,1
40-192-8164,00-000-01,1
40-192-8164,04-000-01,1
53-585-4586,02-000-02,1
53-585-4586,01-000-01,1
53-585-4586,03-000-02,1
53-585-4586,00-000-02,1
53-585-4586,04-000-02,1
56-076-6137,02-000-03,1
56-076-6137,01-000-02,1
56-076-6137,03-000-03,1
56-076-6137,00-000-03,1
56-076-6137,04-000-03,1
06-457-9925,02-000-04,1
06-457-9925,01-000-03,1
06-457-9925,03-000-04,1
06-457-9925,00-000-04,1
06-457-9925,04-000-04,1
51-007-0849,02-000-05,1
51-007-0849,01-000-04,1
51-007-0849,03-000-05,1
51-007-0849,00-000-05,1
51-007-0849,04-000-05,1
64-446-6092,01-000-05,1
64-446-6092,03-000-06,1
64-446-6092,00-000-06,1
64-446-6092,04-000-06,1
62-768-3976,02-000-01,1
62-768-3976,01-000-06,1
62-768-3976,03-000-01,1
62-768-3976,00-000-01,1
62-768-3976,04-000-01,1
45-594-5624,02-000-02,1
45-594-5624,01-000-01,1
45-594-5624,03-000-02,1
45-594-5624,00-000-02,1
45-594-5624,04-000-02,1
46-892-9399,02-000-03,1
46-892-9399,01-000-02,1
46-892-9399,03-000-03,1
46-892-9399,00-000-03,1
46-892-9399,04-000-03,1
74-302-4817,02-000-04,1
74-302-4817,01-000-03,1
74-302-4817,03-000-04,1
74-302-4817,00-000-04,1
74-302-4817,04-000-04,1
07-116-3515,02-000-05,1
07-116-3515,01-000-04,1
07-116-3515,03-000-05,1
07-116-3515,00-000-05,1
07-116-3515,04-000-05,1
04-743-8019,01-000-05,1
04-743-8019,03-000-06,1
04-743-8019,00-000-06,1
04-743-8019,04-000-06,1
09-896-5300,02-000-01,1
09-896-5300,01-000-06,1
09-896-5300,03-000-01,1
09-896-5300,00-000-01,1
09-896-5300,04-000-01,1
36-816-5383,02-000-02,1
36-816-5383,01-000-01,1
36-816-5383,03-000-02,1
36-816-5383,00-000-02,1
36-816-5383,04-000-02,1
76-380-8355,02-000-03,1
76-380-8355,01-000-01,1
76-380-8355,03-000-03,1
76-380-8355,00-000-03,1
76-380-8355,04-000-03,1
19-953-6477,02-000-04,1
19-953-6477,01-000-02,1
19-953-6477,03-000-04,1
19-953-6477,00-000-04,1
19-953-6477,04-000-04,1
61-841-5883,02-000-05,1
61-841-5883,01-000-03,1
61-841-5883,03-000-05,1
61-841-5883,00-000-05,1
61-841-5883,04-000-05,1
83-924-4913,01-000-04,1
83-924-4913,03-000-06,1
83-924-4913,00-000-06,1
83-924-4913,04-000-06,1
36-480-1277,02-000-01,1
36-480-1277,01-000-05,1
36-480-1277,03-000-01,1
36-480-1277,00-000-01,1
36-480-1277,04-000-01,1
76-176-1093,02-000-02,1
76-176-1093,01-000-06,1
76-176-1093,03-000-02,1
76-176-1093,00-000-02,1
76-176-1093,04-000-02,1
63-204-3800,02-000-03,1
63-204-3800,01-000-01,1
63-204-3800,03-000-03,1
63-204-3800,00-000-03,1
63-204-3800,04-000-03,1
13-018-1111,02-000-04,1
13-018-1111,01-000-02,1
13-018-1111,03-000-04,1
13-018-1111,00-000-04,1
13-018-1111,04-000-04,1
77-561-4347,02-000-05,1
77-561-4347,01-000-03,1
77-561-4347,03-000-05,1
77-561-4347,00-000-05,1
77-561-4347,04-000-05,1
43-238-0006,01-000-04,1
43-238-0006,03-000-06,1
43-238-0006,00-000-06,1
43-238-0006,04-000-06,1
59-380-4206,02-000-01,1
59-380-4206,01-000-05,1
59-380-4206,03-000-01,1
59-380-4206,00-000-01,1
59-380-4206,04-000-01,1
21-039-2999,02-000-02,1
21-039-2999,01-000-06,1
21-039-2999,03-000-02,1
21-039-2999,00-000-02,1
21-039-2999,04-000-02,1
28-882-5933,02-000-03,1
28-882-5933,01-000-01,1
28-882-5933,03-000-03,1
28-882-5933,00-000-03,1
28-882-5933,04-000-03,1
65-080-5283,02-000-04,1
65-080-5283,01-000-02,1
65-080-5283,03-000-04,1
65-080-5283,00-000-04,1
65-080-5283,04-000-04,1
74-564-7314,02-000-05,1
74-564-7314,01-000-03,1
74-564-7314,03-000-05,1
74-564-7314,00-000-05,1
74-564-7314,04-000-05,1
45-033-9684,01-000-04,1
45-033-9684,03-000-06,1
45-033-9684,00-000-06,1
45-033-9684,04-000-06,1
76-855-7164,02-000-01,1
76-855-7164,01-000-05,1
76-855-7164,03-000-01,1
76-855-7164,00-000-01,1
76-855-7164,04-000-01,1
28-703-1952,02-000-02,1
28-703-1952,01-000-06,1
28-703-1952,03-000-02,1
28-703-1952,00-000-02,1
28-703-1952,04-000-02,1
29-773-5797,02-000-03,1
29-773-5797,01-000-01,1
29-773-5797,03-000-03,1
29-773-5797,00-000-03,1
29-773-5797,04-000-03,1
19-768-2646,02-000-04,1
19-768-2646,01-000-01,1
19-768-2646,03-000-04,1
19-768-2646,00-000-04,1
19-768-2646,04-000-04,1
08-659-6030,02-000-05,1
08-659-6030,01-000-02,1
08-659-6030,03-000-05,1
08-659-6030,00-000-05,1
08-659-6030,04-000-05,1
96-993-3962,01-000-03,1
96-993-3962,03-000-06,1
96-993-3962,00-000-06,1
96-993-3962,04-000-06,1
83-220-9837,02-000-01,1
83-220-9837,01-000-04,1
83-220-9837,03-000-01,1
83-220-9837,00-000-01,1
83-220-9837,04-000-01,1
31-121-8822,02-000-02,1
31-121-8822,01-000-05,1
31-121-8822,03-000-02,1
31-121-8822,00-000-02,1
31-121-8822,04-000-02,1
65-311-3002,02-000-03,1
65-311-3002,01-000-06,1
65-311-3002,03-000-03,1
65-311-3002,00-000-03,1
65-311-3002,04-000-03,1
50-817-8023,02-000-04,1
50-817-8023,01-000-01,1
50-817-8023,03-000-04,1
50-817-8023,00-000-04,1
50-817-8023,04-000-04,1
11-397-2150,02-000-05,1
11-397-2150,01-000-02,1
11-397-2150,03-000-05,1
11-397-2150,00-000-05,1
11-397-2150,04-000-05,1
07-322-4153,01-000-03,1
07-322-4153,03-000-06,1
07-322-4153,00-000-06,1
07-322-4153,04-000-06,1
84-724-9712,02-000-01,1
84-724-9712,01-000-04,1
84-724-9712,03-000-01,1
84-724-9712,00-000-01,1
84-724-9712,04-000-01,1
75-362-1645,02-000-02,1
75-362-1645,01-000-05,1
75-362-1645,03-000-02,1
75-362-1645,00-000-02,1
75-362-1645,04-000-02,1
76-627-0236,02-000-03,1
76-627-0236,01-000-06,1
76-627-0236,03-000-03,1
76-627-0236,00-000-03,1
76-627-0236,04-000-03,1
40-168-4233,02-000-04,1
40-168-4233,01-000-01,1
40-168-4233,03-000-04,1
40-168-4233,00-000-04,1
40-168-4233,04-000-04,1
25-850-5723,02-000-05,1
25-850-5723,01-000-02,1
25-850-5723,03-000-05,1
25-850-5723,00-000-05,1
25-850-5723,04-000-05,1
85-463-0651,01-000-03,1
85-463-0651,03-000-06,1
85-463-0651,00-000-06,1
85-463-0651,04-000-06,1
64-141-5718,02-000-01,1
64-141-5718,01-000-04,1
64-141-5718,03-000-01,1
64-141-5718,00-000-01,1
64-141-5718,04-000-01,1
35-427-7418,02-000-02,1
35-427-7418,01-000-05,1
35-427-7418,03-000-02,1
35-427-7418,00-000-02,1
35-427-7418,04-000-02,1
12-648-4718,02-000-03,1
12-648-4718,01-000-06,1
12-648-4718,03-000-03,1
12-648-4718,00-000-03,1
12-648-4718,04-000-03,1
37-765-3279,02-000-04,1
37-765-3279,01-000-01,1
37-765-3279,03-000-04,1
37-765-3279,00-000-04,1
37-765-3279,04-000-04,1
91-332-6187,02-000-05,1
91-332-6187,01-000-01,1
91-332-6187,03-000-05,1
91-332-6187,00-000-05,1
91-332-6187,04-000-05,1
25-093-8535,01-000-02,1
25-093-8535,03-000-06,1
25-093-8535,00-000-06,1
25-093-8535,04-000-06,1
59-493-4419,02-000-01,1
59-493-4419,01-000-03,1
59-493-4419,03-000-01,1
